"name_1006","GO_IDs","Proteins","NumProteins_F4","ONTOLOGY"
"nucleoplasm","GO:0005654","H4 - H2AX - H37 - H33 - PERM - CRYAB - RS27A - ADH1G - PSA6 - H2AY - PSA7 - ADH1B - PSA4 - PSB4 - MYO1C - TERA - ANXA1 - PSB2 - CD63 - PSA1 - PSB1 - PSA5 - PSA3",23,"CC"
"blood microparticle","GO:0072562","FIBB - FIBG - IGHM - FIBA - HBB - ACTH - HBA - ALBU - A2MG - HPT - IGHA1 - K2C1 - FINC - VTNC - B3AT - KV320 - KV401 - LG3BP - CD5L - IGJ",20,"CC"
"identical protein binding","GO:0042802","FRIL - AOC3 - FRIH - ALBU - CRYAB - ANXA2 - VIME - FAS - CAV1 - VWF - MVP - PSA7 - EHD2 - CATA - FINC - ANXA6 - VTNC - TERA",18,"MF"
"cell adhesion","GO:0007155","AOC3 - ANXA2 - CO6A2 - CO6A1 - VWF - CO6A3 - FINC - LAMC1 - VTNC - NID1 - LAMB1 - CSPG2 - LAMA4 - CD36 - THY1 - LG3BP",16,"BP"
"endoplasmic reticulum","GO:0005783","FIBB - FIBA - AOC3 - ALBU - RS27A - RTN4 - CAV1 - CO6A1 - HYEP - VWF - VTNC - RTN3 - TERA - MGST1 - ACSL1 - THY1",16,"CC"
"cytoskeleton","GO:0005856","ACTH - ACTBL - K2C1 - VIME - TBA1C - TBA4A - K1C9 - MVP - K1C10 - KATL2 - TBB5 - TBB6",12,"CC"
"protein-containing complex","GO:0032991","H4 - H33 - ALBU - TRFL - CRYAB - CO6A2 - CAV1 - CO6A1 - CATA - TERA - TBB5 - CD63",12,"CC"
"immune system process","GO:0002376","FIBB - IGHM - FIBA - HPT - TRFL - IGHA1 - ANXA1 - KV320 - KV401 - PSA1 - CD5L",11,"BP"
"nucleotide binding","GO:0000166","ACTH - ACTBL - TBA1C - TBA4A - EHD2 - KATL2 - MYO1C - TERA - TBB5 - TBB6 - ACSL1",11,"MF"
"endoplasmic reticulum lumen","GO:0005788","FIBG - FIBA - ALBU - CO6A2 - CO6A1 - CO6A3 - FINC - LAMC1 - LAMB1 - CSPG2",10,"CC"
"extracellular matrix structural constituent","GO:0005201","FIBB - FIBG - FIBA - VWF - FINC - LAMC1 - VTNC - NID1 - LAMB1 - LAMA4",10,"MF"
"inflammatory response","GO:0006954","HBB - AOC3 - HBA - HPT - FAS - CO6A1 - PGBM - ANXA1 - CD5L - CAP7",10,"BP"
"proteasome complex","GO:0000502","PSA6 - PSA7 - PSA4 - PSB4 - TERA - PSB2 - PSA1 - PSB1 - PSA5 - PSA3",10,"CC"
"proteasome-mediated ubiquitin-dependent protein catabolic process","GO:0043161","PSA6 - PSA7 - PSA4 - PSB4 - TERA - PSB2 - PSA1 - PSB1 - PSA5 - PSA3",10,"BP"
"protein heterodimerization activity","GO:0046982","H4 - H2AX - H37 - H33 - AOC3 - K2C1 - CAV1 - H2AY - H2A2B - K1C10",10,"MF"
"signaling receptor binding","GO:0005102","FIBB - FIBG - FIBA - A2MG - CAV1 - FINC - APOF - MYO1C - LAMA4 - ANXA1",10,"MF"
"RNA binding","GO:0003723","H4 - RS27A - ANXA2 - RTN4 - VIME - FAS - PSA6 - TERA - PGS2",9,"MF"
"basement membrane","GO:0005604","ANXA2 - CO6A1 - PGBM - FINC - LAMC1 - VTNC - NID1 - LAMB1 - LAMA4",9,"CC"
"calcium ion binding","GO:0005509","AOC3 - ANXA2 - ANXA5 - PGBM - EHD2 - ANXA6 - NID1 - CSPG2 - ANXA1",9,"MF"
"hydrolase activity","GO:0016787","ACTH - TRFL - ELNE - TBA1C - FAS - HYEP - TBA4A - EHD2 - TERA",9,"MF"
"proteasome core complex","GO:0005839","PSA6 - PSA7 - PSA4 - PSB4 - PSB2 - PSA1 - PSB1 - PSA5 - PSA3",9,"CC"
"proteolysis involved in protein catabolic process","GO:0051603","PSA6 - PSA7 - PSA4 - PSB4 - PSB2 - PSA1 - PSB1 - PSA5 - PSA3",9,"BP"
"structural molecule activity","GO:0005198","FIBB - FIBG - FIBA - CRYAB - TBA1C - K1C9 - K1C10 - LAMB1 - TBB5",9,"MF"
"DNA binding","GO:0003677","H4 - H2AX - H37 - H33 - ALBU - TRFL - H2AY - H2A2B",8,"MF"
"adaptive immune response","GO:0002250","FIBB - IGHM - FIBA - IGHA1 - ANXA1 - KV320 - KV401 - IGJ",8,"BP"
"cell-matrix adhesion","GO:0007160","FIBB - FIBG - FIBA - ANXA2 - FINC - VTNC - NID1 - CD63",8,"BP"
"endoplasmic reticulum membrane","GO:0005789","RS27A - RTN4 - CAV1 - HYEP - RTN3 - TERA - MGST1 - ACSL1",8,"CC"
"ficolin-1-rich granule lumen","GO:1904813","HBB - FRIH - K2C1 - MVP - CATA - TERA - PSB1 - PSA5",8,"CC"
"focal adhesion","GO:0005925","VIME - ANXA5 - CAV1 - PGBM - CATA - ANXA6 - ANXA1 - THY1",8,"CC"
"mitochondrion","GO:0005739","CRYAB - CO6A1 - PSA6 - CATA - ANXA6 - PSB4 - MGST1 - ACSL1",8,"CC"
"synapse","GO:0045202","FIBB - ACTBL - RS27A - RTN4 - RTN3 - TERA - CSPG2 - GBB4",8,"CC"
"ATP binding","GO:0005524","ACTH - ACTBL - EHD2 - KATL2 - MYO1C - TERA - ACSL1",7,"MF"
"Golgi apparatus","GO:0005794","AOC3 - ALBU - ELNE - FAS - CAV1 - RTN3 - CD36",7,"CC"
"azurophil granule lumen","GO:0035578","FRIL - PERM - ELNE - ANXA2 - TERA - TBB5 - CAP7",7,"CC"
"blood coagulation","GO:0007596","FIBB - FIBG - FIBA - ANXA5 - VWF - B3AT - CD36",7,"BP"
"cilium","GO:0005929","ADH1G - TBA1C - CAV1 - PSA6 - TBA4A - ADH1B - ANXA1",7,"CC"
"enzyme binding","GO:0019899","H2AX - A2MG - CAV1 - TBA4A - H2AY - CATA - LAMB1",7,"MF"
"immune response","GO:0006955","IGHM - FRIH - IGHA1 - VTNC - KV320 - KV401 - IGJ",7,"BP"
"lipid metabolic process","GO:0006629","FAS - HYEP - PGBM - APOF - ADH1B - ACSL1 - CD36",7,"BP"
"negative regulation of apoptotic process","GO:0043066","PERM - TRFL - CRYAB - ANXA5 - CATA - ANXA1 - CAP7",7,"BP"
"oxidoreductase activity","GO:0016491","AOC3 - FRIH - PERM - ADH1G - FAS - CATA - ADH1B",7,"MF"
"platelet alpha granule lumen","GO:0031093","FIBB - FIBG - FIBA - ALBU - A2MG - VWF - FINC",7,"CC"
"protein-containing complex binding","GO:0044877","CRYAB - CAV1 - TERA - TBB5 - GBB4 - CD63 - CD36",7,"MF"
"ubiquitin-dependent protein catabolic process","GO:0006511","PSA6 - PSA7 - PSA4 - TERA - PSA1 - PSA5 - PSA3",7,"BP"
"GTP binding","GO:0005525","TBA1C - TBA4A - EHD2 - ANXA6 - TBB5 - TBB6",6,"MF"
"cellular oxidant detoxification","GO:0098869","HBB - HBA - ALBU - HPT - CATA - MGST1",6,"BP"
"chromosome","GO:0005694","H4 - H2AX - H37 - H33 - H2AY - H2A2B",6,"CC"
"collagen binding","GO:0005518","CO6A2 - CO6A1 - VWF - FINC - VTNC - NID1",6,"MF"
"cytoplasmic vesicle","GO:0031410","FRIL - FRIH - ELNE - CAV1 - MYO1C - ANXA1",6,"CC"
"heparin binding","GO:0008201","PERM - TRFL - ELNE - FINC - VTNC - CAP7",6,"MF"
"lysosome","GO:0005764","FRIL - FRIH - PERM - CRYAB - CO6A1 - CD63",6,"CC"
"membrane raft","GO:0045121","ANXA2 - CAV1 - MYO1C - TBB5 - CD36 - THY1",6,"CC"
"nucleosome","GO:0000786","H4 - H2AX - H37 - H33 - H2AY - H2A2B",6,"CC"
"perinuclear region of cytoplasm","GO:0048471","CAV1 - MVP - EHD2 - ANXA6 - LAMB1 - TERA",6,"CC"
"positive regulation of cell adhesion","GO:0045785","LAMC1 - NID1 - LAMB1 - CD63 - THY1 - CAP7",6,"BP"
"proteasome core complex, alpha-subunit complex","GO:0019773","PSA6 - PSA7 - PSA4 - PSA1 - PSA5 - PSA3",6,"CC"
"structural constituent of chromatin","GO:0030527","H4 - H2AX - H37 - H33 - H2AY - H2A2B",6,"MF"
"structural constituent of cytoskeleton","GO:0005200","VIME - TBA1C - TBA4A - K1C9 - TBB5 - TBB6",6,"MF"
"angiogenesis","GO:0001525","ANXA2 - CAV1 - PGBM - FINC - THY1",5,"BP"
"antibacterial humoral response","GO:0019731","IGHM - TRFL - IGHA1 - KV320 - IGJ",5,"BP"
"antigen binding","GO:0003823","IGHM - IGHA1 - KV320 - KV401 - IGJ",5,"MF"
"cell differentiation","GO:0030154","CAV1 - CO6A1 - PGBM - VTNC - CD63",5,"BP"
"cell projection","GO:0042995","RTN4 - VIME - MYO1C - CSPG2 - ANXA1",5,"CC"
"defense response to bacterium","GO:0042742","PERM - HPT - TRFL - ELNE - CAP7",5,"BP"
"early endosome","GO:0005769","AOC3 - TRFL - ANXA2 - EHD2 - ANXA1",5,"CC"
"endosome","GO:0005768","ANXA2 - CAV1 - EHD2 - ANXA1 - CD63",5,"CC"
"fibrinolysis","GO:0042730","FIBB - FIBG - FIBA - ANXA2 - K2C1",5,"BP"
"hemostasis","GO:0007599","FIBB - FIBG - FIBA - ANXA5 - VWF",5,"BP"
"innate immune response","GO:0045087","FIBB - IGHM - FIBA - ANXA1 - IGJ",5,"BP"
"integrin binding","GO:0005178","VWF - FINC - VTNC - LAMB1 - THY1",5,"MF"
"lipid binding","GO:0008289","ALBU - ANXA6 - TERA - ANXA1 - CD36",5,"MF"
"lysosomal membrane","GO:0005765","ANXA2 - CO6A1 - ANXA6 - GBB4 - CD63",5,"CC"
"microtubule","GO:0005874","TBA1C - TBA4A - KATL2 - TBB5 - TBB6",5,"CC"
"microtubule cytoskeleton","GO:0015630","TBA1C - TBA4A - KATL2 - TBB5 - TBB6",5,"CC"
"osteoblast differentiation","GO:0001649","H33 - FAS - CO6A1 - CATA - CSPG2",5,"BP"
"positive regulation of gene expression","GO:0010628","ACTH - VIME - CAV1 - FINC - CD36",5,"BP"
"positive regulation of integrin-mediated signaling pathway","GO:2001046","LAMC1 - VTNC - NID1 - LAMB1 - CD63",5,"BP"
"protease binding","GO:0002020","A2MG - ELNE - ANXA2 - VWF - FINC",5,"MF"
"protein homodimerization activity","GO:0042803","CRYAB - RTN4 - CATA - B3AT - IGJ",5,"MF"
"protein kinase binding","GO:0019901","ACTBL - CAV1 - TBA4A - H2AY - MVP",5,"MF"
"protein-containing complex assembly","GO:0065003","FIBB - FIBG - FIBA - LAMC1 - IGJ",5,"BP"
"response to UV","GO:0009411","ELNE - CO6A2 - CO6A1 - CO6A3 - CATA",5,"BP"
"secretory granule lumen","GO:0034774","MVP - CATA - TERA - PSB1 - PSA5",5,"CC"
"ubiquitin protein ligase binding","GO:0031625","RS27A - RTN4 - TERA - TBB5 - PSA3",5,"MF"
"vesicle","GO:0031982","RS27A - ANXA2 - TBA1C - ANXA1 - CD63",5,"CC"
"Golgi lumen","GO:0005796","PGBM - VTNC - CSPG2 - PGS2",4,"CC"
"apoptotic process","GO:0006915","RTN4 - CO6A1 - RTN3 - CD5L",4,"BP"
"blood coagulation, fibrin clot formation","GO:0072378","FIBB - FIBG - FIBA - FINC",4,"BP"
"calcium-dependent phospholipid binding","GO:0005544","ANXA2 - ANXA5 - ANXA6 - ANXA1",4,"MF"
"calcium-dependent protein binding","GO:0048306","A2MG - ANXA2 - ANXA6 - ANXA1",4,"MF"
"cell migration","GO:0016477","LAMC1 - VTNC - LAMB1 - CD63",4,"BP"
"cell periphery","GO:0071944","ACTH - VWF - NID1 - CD36",4,"CC"
"chromosome, telomeric region","GO:0000781","H4 - H2AX - H33 - H2AY",4,"CC"
"ciliary basal body","GO:0036064","ADH1G - ADH1B - PSB4 - TERA",4,"CC"
"collagen trimer","GO:0005581","CO6A2 - CO6A1 - CO6A3 - CD36",4,"CC"
"cornified envelope","GO:0001533","ANXA2 - K2C1 - K1C10 - ANXA1",4,"CC"
"endodermal cell differentiation","GO:0035987","CO6A1 - FINC - VTNC - LAMB1",4,"BP"
"endosome membrane","GO:0010008","RS27A - EHD2 - ANXA1 - CD63",4,"CC"
"extracellular vesicle","GO:1903561","FIBB - FIBA - CO6A2 - CO6A3",4,"CC"
"fibrinogen complex","GO:0005577","FIBB - FIBG - FIBA - FINC",4,"CC"
"glutamatergic synapse","GO:0098978","ACTBL - RTN4 - TERA - THY1",4,"CC"
"heme binding","GO:0020037","HBB - HBA - PERM - CATA",4,"MF"
"hydrogen peroxide catabolic process","GO:0042744","HBB - HBA - PERM - CATA",4,"BP"
"immunoglobulin complex","GO:0019814","IGHM - IGHA1 - KV320 - KV401",4,"CC"
"intermediate filament","GO:0005882","K2C1 - VIME - K1C9 - K1C10",4,"CC"
"intermediate filament organization","GO:0045109","K2C1 - VIME - K1C9 - K1C10",4,"BP"
"iron ion binding","GO:0005506","FRIL - HBA - FRIH - TRFL",4,"MF"
"microtubule cytoskeleton organization","GO:0000226","TBA1C - TBA4A - TBB5 - TBB6",4,"BP"
"microtubule-based process","GO:0007017","TBA1C - TBA4A - TBB5 - TBB6",4,"BP"
"mitotic cell cycle","GO:0000278","TBA1C - TBA4A - TBB5 - TBB6",4,"BP"
"negative regulation of transcription by RNA polymerase II","GO:0000122","ELNE - CAV1 - H2AY - CD36",4,"BP"
"neuron projection","GO:0043005","RTN4 - VIME - PGBM - RTN3",4,"CC"
"nucleosome assembly","GO:0006334","H4 - H2AX - H33 - H2AY",4,"BP"
"peroxidase activity","GO:0004601","HBB - HBA - PERM - CATA",4,"MF"
"phagocytic vesicle","GO:0045335","ELNE - VIME - MYO1C - CD36",4,"CC"
"phosphatidylserine binding","GO:0001786","ANXA2 - ANXA5 - ANXA6 - ANXA1",4,"MF"
"platelet activation","GO:0030168","FIBB - FIBG - FIBA - VWF",4,"BP"
"platelet alpha granule","GO:0031091","FIBB - FIBG - FIBA - VWF",4,"CC"
"positive regulation of canonical NF-kappaB signal transduction","GO:0043123","TRFL - CAV1 - PSA6 - CD36",4,"BP"
"positive regulation of exocytosis","GO:0045921","FIBB - FIBG - FIBA - ANXA2",4,"BP"
"positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0051897","RTN4 - CATA - FINC - PGS2",4,"BP"
"positive regulation of vasoconstriction","GO:0045907","FIBB - FIBG - FIBA - CAV1",4,"BP"
"protein complex involved in cell-matrix adhesion","GO:0098637","LAMC1 - VTNC - NID1 - LAMB1",4,"CC"
"protein domain specific binding","GO:0019904","VIME - EHD2 - TERA - TBB5",4,"MF"
"protein polymerization","GO:0051258","FIBB - FIBG - FIBA - VTNC",4,"BP"
"protein-macromolecule adaptor activity","GO:0030674","FIBA - CAV1 - EHD2 - IGJ",4,"MF"
"proteolysis","GO:0006508","HPT - TRFL - ELNE - CAP7",4,"BP"
"response to calcium ion","GO:0051592","FIBB - FIBG - FIBA - CAV1",4,"BP"
"response to hypoxia","GO:0001666","CRYAB - CAV1 - PGBM - CATA",4,"BP"
"response to xenobiotic stimulus","GO:0009410","CO6A1 - PGBM - CATA - ACSL1",4,"BP"
"serine-type endopeptidase activity","GO:0004252","HPT - TRFL - ELNE - CAP7",4,"MF"
"signal transduction","GO:0007165","ANXA5 - ANXA1 - GBB4 - LG3BP",4,"BP"
"tertiary granule lumen","GO:1904724","HBB - FRIH - HPT - TRFL",4,"CC"
"vesicle membrane","GO:0012506","ANXA2 - ANXA5 - ANXA6 - ANXA1",4,"CC"
"DNA repair","GO:0006281","H2AX - H2AY - TERA",3,"BP"
"actin cytoskeleton","GO:0015629","ACTH - ACTBL - MYO1C",3,"CC"
"actin filament","GO:0005884","ACTBL - MYO1C - ANXA1",3,"CC"
"amyloid-beta binding","GO:0001540","CRYAB - PGBM - CD36",3,"MF"
"antioxidant activity","GO:0016209","ALBU - HPT - CATA",3,"MF"
"autophagy","GO:0006914","CO6A1 - FINC - TERA",3,"BP"
"axon","GO:0030424","ACTBL - CRYAB - VIME",3,"CC"
"azurophil granule membrane","GO:0035577","MGST1 - CD63 - CAP7",3,"CC"
"basement membrane organization","GO:0071711","CAV1 - CO6A1 - NID1",3,"BP"
"brain development","GO:0007420","RTN4 - PGBM - RTN3",3,"BP"
"caveola","GO:0005901","CAV1 - EHD2 - CD36",3,"CC"
"cell adhesion molecule binding","GO:0050839","FIBB - FIBG - FIBA",3,"MF"
"cell cortex","GO:0005938","FIBB - CAV1 - MYO1C",3,"CC"
"cell population proliferation","GO:0008283","H33 - CAV1 - MVP",3,"BP"
"cell surface receptor signaling pathway","GO:0007166","ANXA1 - CD36 - THY1",3,"BP"
"cell-cell adhesion","GO:0098609","ANXA2 - ANXA1 - THY1",3,"BP"
"cholesterol binding","GO:0015485","CAV1 - APOF - ANXA6",3,"MF"
"chromatin","GO:0000785","H2AX - H33 - H2AY",3,"CC"
"collagen type VI trimer","GO:0005589","CO6A2 - CO6A1 - CO6A3",3,"CC"
"cytoskeletal protein binding","GO:0008092","CRYAB - ANXA2 - B3AT",3,"MF"
"defense response","GO:0006952","IGHM - PERM - HPT",3,"BP"
"defense response to Gram-negative bacterium","GO:0050829","IGHM - TRFL - CAP7",3,"BP"
"embryo implantation","GO:0007566","H33 - PGBM - LAMB1",3,"BP"
"endocytic vesicle lumen","GO:0071682","HBB - HBA - HPT",3,"CC"
"endocytic vesicle membrane","GO:0030666","RS27A - CAV1 - CD36",3,"CC"
"erythrocyte development","GO:0048821","HBB - HBA - B3AT",3,"BP"
"extracellular matrix binding","GO:0050840","VTNC - NID1 - PGS2",3,"MF"
"extracellular matrix structural constituent conferring compression resistance","GO:0030021","PGBM - CSPG2 - PGS2",3,"MF"
"extracellular matrix structural constituent conferring tensile strength","GO:0030020","CO6A2 - CO6A1 - CO6A3",3,"MF"
"fatty acid metabolic process","GO:0006631","FAS - ACSL1 - CD36",3,"BP"
"glomerular filtration","GO:0003094","IGHA1 - KV320 - IGJ",3,"BP"
"haptoglobin-hemoglobin complex","GO:0031838","HBB - HBA - HPT",3,"CC"
"hemoglobin binding","GO:0030492","HBB - HPT - B3AT",3,"MF"
"heterochromatin formation","GO:0031507","H2AX - H2AY - H2A2B",3,"BP"
"immunoglobulin receptor binding","GO:0034987","IGHM - IGHA1 - IGJ",3,"MF"
"integrin-mediated signaling pathway","GO:0007229","FINC - VTNC - THY1",3,"BP"
"iron ion transport","GO:0006826","FRIL - FRIH - TRFL",3,"BP"
"keratin filament","GO:0045095","K2C1 - K1C9 - K1C10",3,"CC"
"late endosome membrane","GO:0031902","ANXA2 - ANXA6 - CD63",3,"CC"
"lipid droplet","GO:0005811","ANXA2 - CAV1 - TERA",3,"CC"
"lipopolysaccharide binding","GO:0001530","TRFL - PSB4 - PSA1",3,"MF"
"lysosomal lumen","GO:0043202","PGBM - CSPG2 - PGS2",3,"CC"
"mitochondrial outer membrane","GO:0005741","RS27A - MGST1 - ACSL1",3,"CC"
"monomeric IgA immunoglobulin complex","GO:0071748","IGHA1 - KV320 - IGJ",3,"CC"
"muscle organ development","GO:0007517","CRYAB - CO6A1 - CO6A3",3,"BP"
"negative regulation of angiogenesis","GO:0016525","PGBM - CD36 - PGS2",3,"BP"
"negative regulation of cell population proliferation","GO:0008285","FRIH - CAV1 - PGBM",3,"BP"
"negative regulation of endothelial cell apoptotic process","GO:2000352","FIBB - FIBG - FIBA",3,"BP"
"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","GO:1902042","FIBB - FIBG - FIBA",3,"BP"
"neuron apoptotic process","GO:0051402","CO6A2 - CO6A1 - CO6A3",3,"BP"
"nucleolus","GO:0005730","RS27A - H2AY - MYO1C",3,"CC"
"oxygen binding","GO:0019825","HBB - HBA - ALBU",3,"MF"
"pentameric IgM immunoglobulin complex","GO:0071756","IGHM - KV320 - IGJ",3,"CC"
"peptidase activity","GO:0008233","TRFL - ELNE - CAP7",3,"MF"
"peroxisomal membrane","GO:0005778","CATA - MGST1 - ACSL1",3,"CC"
"peroxisome","GO:0005777","VIME - CATA - ACSL1",3,"CC"
"phosphatidylinositol 3-kinase/protein kinase B signal transduction","GO:0043491","CO6A2 - CO6A1 - CO6A3",3,"BP"
"phospholipase inhibitor activity","GO:0004859","ANXA2 - ANXA5 - ANXA1",3,"MF"
"plasminogen activation","GO:0031639","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of cell migration","GO:0030335","CAV1 - LAMB1 - MYO1C",3,"BP"
"positive regulation of heterotypic cell-cell adhesion","GO:0034116","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of muscle cell differentiation","GO:0051149","LAMC1 - NID1 - LAMB1",3,"BP"
"positive regulation of peptide hormone secretion","GO:0090277","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of protein secretion","GO:0050714","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of substrate adhesion-dependent cell spreading","GO:1900026","FIBB - FIBG - FIBA",3,"BP"
"positive regulation of transcription by RNA polymerase II","GO:0045944","ANXA2 - MYO1C - PGS2",3,"BP"
"proteasome core complex, beta-subunit complex","GO:0019774","PSB4 - PSB2 - PSB1",3,"CC"
"protein transport","GO:0015031","CAV1 - MVP - CD63",3,"BP"
"protein-folding chaperone binding","GO:0051087","FIBB - ALBU - VWF",3,"MF"
"regulation of basement membrane organization","GO:0110011","LAMC1 - NID1 - LAMB1",3,"BP"
"regulation of cell migration","GO:0030334","RTN4 - LAMA4 - THY1",3,"BP"
"response to activity","GO:0014823","ANXA2 - CO6A1 - CATA",3,"BP"
"response to lipopolysaccharide","GO:0032496","PERM - ELNE - CO6A1",3,"BP"
"response to oxidative stress","GO:0006979","PERM - K2C1 - CATA",3,"BP"
"response to toxic substance","GO:0009636","CO6A1 - HYEP - CATA",3,"BP"
"response to wounding","GO:0009611","CO6A1 - VWF - FINC",3,"BP"
"scavenger receptor activity","GO:0005044","VTNC - CD36 - LG3BP",3,"MF"
"secretory IgA immunoglobulin complex","GO:0071751","IGHA1 - KV320 - IGJ",3,"CC"
"secretory granule","GO:0030141","PERM - TRFL - ELNE",3,"CC"
"serine-type endopeptidase inhibitor activity","GO:0004867","A2MG - ANXA2 - CO6A3",3,"MF"
"specific granule lumen","GO:0035580","HPT - TRFL - ELNE",3,"CC"
"spermatogenesis","GO:0007283","H2AX - H33 - K1C9",3,"BP"
"structural constituent of skin epidermis","GO:0030280","K2C1 - K1C9 - K1C10",3,"MF"
"substrate adhesion-dependent cell spreading","GO:0034446","FINC - LAMC1 - LAMB1",3,"BP"
"tissue development","GO:0009888","FAS - CO6A1 - LAMC1",3,"BP"
"triglyceride metabolic process","GO:0006641","CAV1 - CATA - APOF",3,"BP"
"vesicle-mediated transport","GO:0016192","VTNC - RTN3 - LG3BP",3,"BP"
"zinc ion binding","GO:0008270","RS27A - ADH1G - ADH1B",3,"MF"
